"","id","nc","c1.x","c1.y","c2.x","c2.y","c3.x","c3.y","c4.x","c4.y","c5.x","c5.y","dc.km.1_2","dc.km.1_3","dc.km.1_4","dc.km.1_5","dc.km.2_3","dc.km.2_4","dc.km.2_5","dc.km.3_4","dc.km.3_5","dc.km.4_5","o.1_2","o.1_3","o.1_4","o.1_5","o.2_3","o.2_4","o.2_5","o.3_4","o.3_5","o.4_5","p.1_2","p.1_3","p.1_4","p.1_5","p.2_3","p.2_4","p.2_5","p.3_4","p.3_5","p.4_5","dur1.td","dur2.td","dur3.td","dur4.td","dur5.td"
"22","year1.B3000bk","2",706706.731160861,4784170.85142566,733377.690336186,4805830.96531092,NA,NA,NA,NA,NA,NA,34.3584137709314,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.37660389449317e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,217.167361111111,65.05,NA,NA,NA
"23","year1.B3010oe","3",668933.093135646,4793975.44164147,673061.677190875,4792117.08499607,672978.251752936,4799215.227573,NA,NA,NA,NA,4.52754853343174,6.61956681719169,NA,NA,7.09863281527113,NA,NA,NA,NA,NA,0.00155690031837929,0.000473270802197778,NA,NA,6.27254323491e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.4979166666667,67.4972222222222,147.997222222222,NA,NA
"24","year1.B80665n","2",709523.851563456,4789434.04027826,715219.768625644,4790598.05634877,NA,NA,NA,NA,NA,NA,5.8136395305989,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00415766089508399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,251.672916666667,46.4993055555556,NA,NA,NA
"25","year1.C1005w","5",731113.493730011,4774681.89623914,731580.411118082,4774962.39997452,731164.188930266,4775338.4562239,731863.188364911,4774576.25923283,730962.3303992,4777175.23995234,0.54469642264621,0.658514249594169,0.757100536717859,2.49792178114912,0.560944928072462,0.478610116603191,2.29753880108729,1.03418782763587,1.84784234490488,2.75068098018768,0.0230244609925919,0.0253439284007421,8.25245528975438e-05,NA,0.00697059353326246,0.00801372451425054,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,0,21.1173611111111,60.6229166666667,26.6965277777778,66.4243055555555,0.861111111111111
"26","year1.C1032oe","2",740852.456206642,4765350.08225076,701409.088171764,4765252.26359659,NA,NA,NA,NA,NA,NA,39.4434893287084,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.75,319.125,NA,NA,NA
"27","year1.C1042be","2",741610.044337138,4764254.3172459,672312.941546958,4762395.45416644,NA,NA,NA,NA,NA,NA,69.322029882722,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121.625,243.25,NA,NA,NA
"28","year1.C1047be","5",753456.946897659,4770113.52232484,750928.401731741,4767638.12955892,745658.848761876,4767848.28817672,749676.159686469,4770020.96842146,757652.082517395,4771517.39117668,3.53851805161928,8.12044458641831,3.78191990413883,4.42380047257453,5.27374204401856,2.69184531219415,7.76250951731332,4.56720116819348,12.5419285892888,8.11508632530836,0.000329960015465949,0,0.000707437908329041,0.00204484153626968,2.32103533805365e-05,0.000211196072691266,0,0.000305204347874638,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133.373611111111,117.247916666667,43.5,27.7506944444444,27.0034722222222
"29","year1.C1048be","2",745266.107877266,4770470.81161904,739116.287263392,4775425.96014403,NA,NA,NA,NA,NA,NA,7.89770792619461,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,353.375,10.9993055555556,NA,NA,NA
"30","year1.C1062yw","2",743086.506548604,4764102.98996602,742020.798294364,4765156.93996724,NA,NA,NA,NA,NA,NA,1.49884778687235,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0776220033635578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.5020833333333,190.149305555556,NA,NA,NA
"31","year1.C1083g","2",748177.094951789,4776669.67470623,770497.414558584,4790988.55625795,NA,NA,NA,NA,NA,NA,26.518428238522,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.125,307.25,NA,NA,NA
